phase,mode,variant,date,variant_minus_reference_yuan,emergency_cost_difference,plan_cost_difference,adjustment_difference
validation,q2,reference,2025-01-29,0.0,0.0,0.0,0.0
validation,q2,reference,2025-01-28,0.0,0.0,0.0,0.0
validation,q2,reference,2025-01-27,0.0,0.0,0.0,0.0
validation,q2,reference,2025-01-26,0.0,0.0,0.0,0.0
validation,q2,shuffle_20260913,2025-01-17,-1155.940289309372,0.0,-1155.940289309372,0.0
validation,q2,shuffle_20260913,2025-01-18,-942.9925695168567,-292.70083459027796,-650.2917349265772,0.0
validation,q2,shuffle_20260913,2025-01-15,-823.5768383042159,0.0,-823.5768383042159,0.0
validation,q2,shuffle_20260913,2025-01-12,-776.5216530644393,0.0,-776.5216530644393,0.0
validation,q2,shuffle_20260913,2025-01-11,611.0135420219012,0.0,611.0135420219012,0.0
validation,q2,shuffle_20260914,2025-01-16,-1415.5995635053114,0.0024108715275650283,-1415.601974376841,0.0
validation,q2,shuffle_20260914,2025-01-18,-1337.1919927173585,-252.78425499582994,-1084.407737721529,0.0
validation,q2,shuffle_20260914,2025-01-09,-903.5869131560175,0.0,-903.5869131560175,0.0
validation,q2,shuffle_20260914,2025-01-14,579.0348745949595,0.0,579.0348745949595,0.0
validation,q2,shuffle_20260914,2025-01-13,-548.548469251662,0.0,-548.548469251662,0.0
validation,q2,shuffle_20260915,2025-01-15,-1751.7545566554618,0.0,-1751.7545566554618,0.0
validation,q2,shuffle_20260915,2025-01-14,-1255.8653155438078,0.0,-1255.8653155438078,0.0
validation,q2,shuffle_20260915,2025-01-18,-787.4353831745611,100.23266967916823,-887.6680528537254,0.0
validation,q2,shuffle_20260915,2025-01-16,-774.8687768553791,-0.00429315625003035,-774.8644836991443,0.0
validation,q2,shuffle_20260915,2025-01-11,-646.4257009641879,33.56037006458233,-679.9860710287612,0.0
validation,q2,shuffle_20260916,2025-01-17,-1223.4343127575194,0.0,-1223.4343127575194,0.0
validation,q2,shuffle_20260916,2025-01-09,-729.7824337548518,0.0,-729.7824337548518,0.0
validation,q2,shuffle_20260916,2025-01-10,-664.8371806166688,0.0,-664.8371806166688,0.0
validation,q2,shuffle_20260916,2025-01-12,-558.4076751714747,0.0,-558.4076751714747,0.0
validation,q2,shuffle_20260916,2025-01-13,-549.587550215816,0.0,-549.5875502158015,0.0
validation,q2,shuffle_20260917,2025-01-14,-1391.8360925965244,0.0,-1391.8360925965098,0.0
validation,q2,shuffle_20260917,2025-01-18,-875.5788383728432,-442.22152084374966,-433.3573175290876,0.0
validation,q2,shuffle_20260917,2025-01-16,-695.3799222185626,0.00043318333308395296,-695.3803554018959,0.0
validation,q2,shuffle_20260917,2025-01-22,555.3130199468142,0.0013686916664994442,555.3116512551496,0.0
validation,q2,shuffle_20260917,2025-01-17,-427.4654006015189,0.0,-427.4654006015189,0.0
