mode,date,issue,parameter,ratio,parameter_value,base_objective,objective,objective_change_pct,grid_l1_kwh,soc_max_change_kwh,balance_residual,soc_residual
q3,2025-03-20,18,power_kw,1.2,6000.0,21134.495313418116,21134.495313418116,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-06-21,0,terminal_multiplier,0.8,0.8,23861.096976556684,23861.096976556684,0.0,0.0,0.0,4.263256414560601e-13,8.242295734817162e-13
q3,2025-06-21,0,terminal_multiplier,0.9,0.9,23861.096976556684,23861.096976556684,0.0,0.0,0.0,4.263256414560601e-13,8.242295734817162e-13
q3,2025-06-21,0,terminal_multiplier,1.0,1.0,23861.096976556684,23861.096976556684,0.0,0.0,0.0,4.263256414560601e-13,8.242295734817162e-13
q3,2025-06-21,0,terminal_multiplier,1.1,1.1,23861.096976556684,23861.096976556684,0.0,0.0,0.0,4.263256414560601e-13,8.242295734817162e-13
q3,2025-06-21,0,terminal_multiplier,1.2,1.2,23861.096976556684,23861.096976556684,0.0,0.0,0.0,4.263256414560601e-13,8.242295734817162e-13
q3,2025-06-21,0,power_kw,0.8,4000.0,23861.096976556684,24712.44238373927,3.5679223298871188,0.0,725.8329584876528,4.263256414560601e-13,8.588685318500211e-13
q3,2025-06-21,0,power_kw,0.9,4500.0,23861.096976556684,24178.92797937092,1.3320049917508119,0.0,393.2387625000001,4.263256414560601e-13,8.242295734817162e-13
q3,2025-06-21,0,power_kw,1.0,5000.0,23861.096976556684,23861.096976556684,0.0,0.0,0.0,4.263256414560601e-13,8.242295734817162e-13
q3,2025-06-21,0,power_kw,1.1,5500.0,23861.096976556684,23861.096976556684,-9.52905374244213e-16,0.0,0.0,4.263256414560601e-13,8.242295734817162e-13
q3,2025-06-21,0,power_kw,1.2,6000.0,23861.096976556684,23861.096976556684,-9.52905374244213e-16,0.0,0.0,4.263256414560601e-13,8.242295734817162e-13
q3,2025-06-21,6,terminal_multiplier,0.8,0.8,27747.206568978854,27747.206568978854,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,6,terminal_multiplier,0.9,0.9,27747.206568978854,27747.206568978854,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
q3,2025-06-21,6,terminal_multiplier,1.0,1.0,27747.206568978854,27747.206568978854,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13
